VALUE,ERROR,MEASURE,YEAR,YEAR_NUMBER
0.9168805574,0.1906155158,IS_HOMETRUE,1999,0
0.8904834884,0.2151932232,IS_HOMETRUE,2000,1
1.003685649,0.2332362768,IS_HOMETRUE,2001,2
0.7383221331,0.1461496153,IS_HOMETRUE,2002,3
1.222385373,0.1833191586,IS_HOMETRUE,2003,4
1.224255573,0.1842274895,IS_HOMETRUE,2004,5
0.9298958798,0.1569509718,IS_HOMETRUE,2005,6
1.21544323,0.2075163541,IS_HOMETRUE,2006,7
0.9205855945,0.103402466,IS_HOMETRUE,2007,8
0.9612826492,0.1261810117,IS_HOMETRUE,2008,9
1.046350892,0.165661177,IS_HOMETRUE,2009,10
0.6696120784,0.2575318744,IS_HOMETRUE,2010,11
1.179776715,0.2168121866,IS_HOMETRUE,2011,12
0.9832820792,0.165602573,IS_HOMETRUE,2013,14
0.8490730547,0.1640035271,IS_HOMETRUE,2014,15
1.267532839,0.209510852,IS_HOMETRUE,2015,16
1.099275299,0.1847765325,IS_HOMETRUE,2017,18
0.9928788407,0.2076929472,IS_HOMETRUE,2018,19
